Message ID,Date,Text
227959,16/03/2025 18:04:46,"رئيس الوزراء الإسرائيلي بنيامين نتنياهو يقرر إقالة رئيس جهاز الأمن العام (الشاباك) رونين بار، وذلك بعد تصاعد التوترات بينهما. 
استدعى نتنياهو بار لاجتماع عاجل في مكتبه وأبلغه بنيته إنهاء مهامه، مشيرًا إلى أنه سيطرح قرارًا بذلك أمام الحكومة خلال الأسبوع الجاري. 

لم يكن بار ينوي استكمال فترة ولايته كاملة، لكنه لم يخطط للاستقالة قبل مايو على الأقل، وهو ما يتعارض مع رغبة نتنياهو.

 ويتطلب تنفيذ الإقالة موافقة الحكومة، بالإضافة إلى استشارة المستشارة القضائية للحكومة، غالي بهاراف ميارا.

 وكان المستشار القانوني المساعد، د. جيل ليمون، قد أشار في رأي قانوني إلى أن إنهاء خدمة رئيس الشاباك يجب أن يستند إلى أسباب موضوعية مدعومة بأدلة قوية، وأن أي قرار إداري بهذا الشأن يخضع لقواعد العملية المنظمة والقانون الإداري."
227958,16/03/2025 17:04:56,"المتحدث العسكري باسم أنصار الله: قواتنا نفذت عملية نوعية استهدفت حاملة الطائرات ترومان

المتحدث العسكري باسم أنصار الله: لن نتردد في استهداف أي قطع بحرية بالبحرين الأحمر والعربي ردا على العدوان

المتحدث العسكري باسم أنصار الله: العدو الأمريكي شن عدوانا بأكثر من 47 غارة على مناطق مختلفة"
227957,16/03/2025 14:56:17,"يوآف زيتون - يديعوت احرونوت 
 العميد (احتياط) إيريز فينر، رئيس قسم التخطيط في القيادة الجنوبية هو الضابط الكبير الذي سقط منه وثائق سرية وحساسة للغاية تابعة لجيش العدو في الأسابيع الأخيرة في موقف سيارات مبنى مكاتب في رامات جان وعثر عليها من قبل مدني عابر - . وصرح مسؤولون في جيش العدو بعد ظهر اليوم بأنهم فتحوا تحقيقًا أمنيًا سريعًا، خلص إلى أن الوثائق كانت بحوزة فنر."
227956,16/03/2025 14:55:54,"سلطنة عمان: المفتي الشيخ أحمد الخليلي: ندين بكل شدة العدوان الغاشم من الصهيونية وحلفائها على غزة واليمن

سلطنة عمان: المفتي الشيخ أحمد الخليلي: واثقون كل الثقة بأن هذا العدوان لن يزيد الشعبين البطلين إلا إقداماً وقوة وعزة"
227955,16/03/2025 14:55:24,بيان مهم للقوات المسلحة اليمنية في تمام الساعة الثامنة مساء بتوقيت العاصمة صنعاء.
227954,16/03/2025 13:16:18,ويتكوف لــ سي إن إن: الجواب الذي وصلنا من حماس بشأن تمديد وقف إطلاق النار في غزة غير مقبول على الإطلاق
227953,16/03/2025 13:13:19,مراسل صحيفة الحدث بغزة: اطلاق نار مستمر من بعد الظهر انطلاقا من  مناطق الحدود باتجاه الفراحين والقديحات في عبسان الكبيرة شرق خانيونس
227952,16/03/2025 11:52:58,استشهاد الشاب احمد ابو رواع متأثرا بجراحة بعد قصف أمس في بيت لاهيا
227951,16/03/2025 11:38:48,"جيلي كوهين : 

مصدر إسرائيلي ، الفجوات بين إسرائيل وحماس كبيرة ، الفكرة هي أن الضغوط سوف تترك أثرها وسوف توافق حماس على اقتراح الوساطة ، ولكن ليس من المؤكد على الإطلاق أن هذا سوف يحدث"
227950,16/03/2025 10:23:46,"#محمد_الدعالسة 3 أعوام ... الطفل  الذي اختصر الحزن في كلمة ""بابا"" !!!!! 
تقرير الصحفي مثنى النجار لصالح صحيفة الحدث : 

في زاويةٍ منسية داخل أحد مراكز الإيواء بغزة، يجلس محمد، ذو الثلاثة أعوام، بين ذراعي عمه، يحدّق في وجهه بعينين أنهكهما الفقد، ويردد بصوتٍ صغير مرتجف: ""بابا...""

لم يدرك محمد بعد أن والده لن يعود، ولم يستوعب أن حضن أمه، وضحكات إخوته، ودفء منزله قد تحولوا إلى رماد تحت ركام القصف.
 لم يبقَ له سوى هذا الرجل الذي يحتضنه كأنما يحاول سد فجوة الكون بداخله، رجلٌ فقد هو الآخر كل شيء—زوجته، أطفاله، منزله—لكنه وجد في محمد ما تبقى له من حياة.

كل ليلة، ينام محمد على صدر عمه، يبحث عن قلبٍ يخبره أن الأمان لم ينتهِ، وأن العالم لم يخنه تمامًا. 
وعندما يستيقظ مذعورًا، يلتفت إليه ويهمس ببراءةٍ ممزوجة بالألم: ""بابا...""

أيُعقل أن تصبح كلمة ""بابا"" نداءً للنجاة بدلًا من أن تكون نداءً للأب؟ أيُعقل أن تحمل شفاه صغيرة كل هذا الحزن؟

فيا ضمير العالم، هل تسمعون صوت محمد؟ هل تسمعون ""بابا"" التي لا تجد من يجيبها؟"
